casualty_group,killed,injured,total_casualties,proportion_killed
667,0,0,0,NA
668,0,0,0,NA
669,0,0,0,NA
670,0,0,0,NA
671,0,0,0,NA
672,0,0,0,NA
673,0,0,0,NA
674,0,0,0,NA
675,0,0,0,NA
676,0,0,0,NA
677,0,0,0,NA
678,0,0,0,NA
679,0,0,0,NA
680,0,0,0,NA
681,0,0,0,NA
682,7,0,7,1
683,0,0,0,NA
684,0,0,0,NA
685,0,0,0,NA
686,0,0,0,NA
687,0,0,0,NA
688,0,0,0,NA
689,0,0,0,NA
690,0,0,0,NA
691,0,0,0,NA
692,0,0,0,NA
693,0,0,0,NA
694,0,0,0,NA
695,0,0,0,NA
696,0,0,0,NA
697,0,0,0,NA
698,0,0,0,NA
699,0,0,0,NA
700,0,0,0,NA
701,0,0,0,NA
702,0,0,0,NA
703,0,0,0,NA
704,0,0,0,NA
705,3,6,9,0.3333333333333333
706,0,0,0,NA
707,0,0,0,NA
708,0,0,0,NA
709,0,0,0,NA
710,0,0,0,NA
711,0,0,0,NA
712,0,0,0,NA
713,0,0,0,NA
714,0,0,0,NA
715,0,0,0,NA
716,0,0,0,NA
717,0,0,0,NA
718,0,0,0,NA
719,0,0,0,NA
720,0,1,1,0
721,0,0,0,NA
722,0,0,0,NA
723,0,2,2,0
724,0,0,0,NA
725,0,0,0,NA
726,0,0,0,NA
727,0,0,0,NA
728,0,0,0,NA
729,0,0,0,NA
730,0,0,0,NA
731,0,0,0,NA
732,0,0,0,NA
733,0,0,0,NA
734,0,0,0,NA
735,0,0,0,NA
736,0,0,0,NA
737,0,0,0,NA
738,0,0,0,NA
739,0,0,0,NA
740,0,0,0,NA
741,0,0,0,NA
742,0,1,1,0
743,0,0,0,NA
744,0,4,4,0
745,0,0,0,NA
746,0,0,0,NA
747,0,0,0,NA
748,0,0,0,NA
749,0,0,0,NA
750,0,0,0,NA
751,12,23,35,0.34285714285714286
752,0,0,0,NA
753,0,0,0,NA
754,0,0,0,NA
755,0,1,1,0
756,0,0,0,NA
757,0,0,0,NA
758,0,0,0,NA
