casualty_group,total_incidents,civil_defense_region,country,year,month,killed,injured,total_casualties,time_binary,lethality_category
2808,1,4: Eastern,England,1940,8,0,0,0,1,NA
2809,1,4: Eastern,England,1940,8,0,0,0,1,NA
2810,1,4: Eastern,England,1940,8,0,0,0,1,NA
2811,1,4: Eastern,England,1940,8,0,0,0,1,NA
2812,1,4: Eastern,England,1940,8,0,0,0,1,NA
2813,1,4: Eastern,England,1940,8,0,0,0,1,NA
2814,1,4: Eastern,England,1940,8,0,0,0,1,NA
2815,1,4: Eastern,England,1940,8,0,0,0,1,NA
2816,1,5: London,England,1940,8,0,0,0,1,NA
2817,1,5: London,England,1940,8,3,172,175,1,low
2818,1,6: Southern,England,1940,8,0,0,0,1,NA
2819,1,6: Southern,England,1940,8,0,0,0,1,NA
2820,1,6: Southern,England,1940,8,0,0,0,1,NA
2821,1,6: Southern,England,1940,8,1,1,2,1,medium
2822,1,7: South Western,England,1940,8,0,1,1,1,low
2823,1,7: South Western,England,1940,8,0,0,0,1,NA
2824,1,7: South Western,England,1940,8,0,0,0,1,NA
2825,1,7: South Western,England,1940,8,0,0,0,1,NA
2826,1,6: Southern,England,1940,8,0,0,0,1,NA
2827,1,6: Southern,England,1940,8,0,0,0,1,NA
2828,1,6: Southern,England,1940,8,0,0,0,1,NA
2829,1,9: Midlands,England,1940,8,0,0,0,1,NA
2830,1,9: Midlands,England,1940,8,0,0,0,1,NA
2831,1,9: Midlands,England,1940,8,0,0,0,1,NA
2832,1,9: Midlands,England,1940,8,3,1,4,1,high
2833,1,9: Midlands,England,1940,8,0,0,0,1,NA
2834,1,10: North Western,England,1940,8,29,133,162,1,low
2835,1,10: North Western,England,1940,8,0,0,0,1,NA
2836,1,10: North Western,England,1940,8,1,23,24,1,low
2837,1,10: North Western,England,1940,8,0,0,0,1,NA
2838,1,10: North Western,England,1940,8,0,0,0,1,NA
2839,1,10: North Western,England,1940,8,0,0,0,1,NA
2840,1,10: North Western,England,1940,8,0,0,0,1,NA
2841,1,10: North Western,England,1940,8,0,0,0,1,NA
2842,1,10: North Western,England,1940,8,0,0,0,1,NA
2843,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2844,1,12: South Eastern,England,1940,8,0,2,2,1,low
2845,1,12: South Eastern,England,1940,8,0,1,1,1,low
2846,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2847,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2848,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2849,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2850,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2851,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2852,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2853,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2854,1,4: Eastern,England,1940,8,0,0,0,0,NA
2855,1,6: Southern,England,1940,8,0,0,0,0,NA
2856,1,12: South Eastern,England,1940,8,0,0,0,0,NA
2857,1,2: North Eastern,England,1940,9,6,1,7,0,high
2858,1,4: Eastern,England,1940,9,0,0,0,0,NA
2859,1,4: Eastern,England,1940,9,0,0,0,0,NA
2860,1,5: London,England,1940,9,3,11,14,0,low
2861,1,5: London,England,1940,9,3,3,6,0,medium
2862,1,5: London,England,1940,9,0,0,0,0,NA
2863,1,5: London,England,1940,9,0,0,0,0,NA
2864,1,6: Southern,England,1940,9,4,16,20,0,low
2865,1,6: Southern,England,1940,9,0,0,0,0,NA
2866,1,12: South Eastern,England,1940,9,0,6,6,0,low
2867,1,12: South Eastern,England,1940,9,2,15,17,0,low
2868,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2869,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2870,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2871,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2872,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2873,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2874,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2875,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2876,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2877,1,12: South Eastern,England,1940,9,1,1,2,0,medium
2878,1,12: South Eastern,England,1940,9,0,1,1,0,low
2879,1,1: Northern,England,1940,8,0,0,0,1,NA
2880,1,1: Northern,England,1940,8,0,0,0,1,NA
2881,1,1: Northern,England,1940,8,0,0,0,1,NA
2882,1,1: Northern,England,1940,8,0,0,0,1,NA
2883,1,1: Northern,England,1940,8,0,0,0,1,NA
2884,1,1: Northern,England,1940,8,0,0,0,1,NA
2885,1,2: North Eastern,England,1940,8,0,8,8,1,low
2886,1,2: North Eastern,England,1940,8,0,0,0,1,NA
2887,1,2: North Eastern,England,1940,8,0,0,0,1,NA
2888,1,2: North Eastern,England,1940,8,0,0,0,1,NA
2889,1,2: North Eastern,England,1940,8,0,0,0,1,NA
2890,1,2: North Eastern,England,1940,8,0,0,0,1,NA
2891,1,2: North Eastern,England,1940,8,0,0,0,1,NA
2892,1,2: North Eastern,England,1940,8,0,21,21,1,low
2893,1,4: Eastern,England,1940,8,0,7,7,1,low
2894,1,4: Eastern,England,1940,8,0,1,1,1,low
2895,1,4: Eastern,England,1940,8,0,0,0,1,NA
2896,1,4: Eastern,England,1940,8,0,0,0,1,NA
2897,1,4: Eastern,England,1940,8,0,0,0,1,NA
2898,1,4: Eastern,England,1940,8,0,0,0,1,NA
2899,1,4: Eastern,England,1940,8,0,0,0,1,NA
2900,1,4: Eastern,England,1940,8,0,0,0,1,NA
2901,1,4: Eastern,England,1940,8,0,0,0,1,NA
2902,1,4: Eastern,England,1940,8,0,0,0,1,NA
2903,1,4: Eastern,England,1940,8,0,0,0,1,NA
2904,1,4: Eastern,England,1940,8,0,0,0,1,NA
2905,1,6: Southern,England,1940,8,0,0,0,1,NA
2906,1,6: Southern,England,1940,8,0,0,0,1,NA
2907,1,6: Southern,England,1940,8,0,0,0,1,NA
2908,1,6: Southern,England,1940,8,0,0,0,1,NA
2909,1,6: Southern,England,1940,8,0,0,0,1,NA
2910,1,8: Wales,Wales,1940,8,0,0,0,1,NA
2911,1,8: Wales,Wales,1940,8,0,0,0,1,NA
2912,1,8: Wales,Wales,1940,8,0,0,0,1,NA
2913,1,9: Midlands,England,1940,8,0,0,0,1,NA
2914,1,9: Midlands,England,1940,8,0,0,0,1,NA
2915,1,10: North Western,England,1940,8,0,2,2,1,low
2916,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2917,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2918,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2919,1,12: South Eastern,England,1940,8,0,0,0,1,NA
2920,1,1: Northern,England,1940,8,0,0,0,1,NA
2921,1,1: Northern,England,1940,9,0,0,0,1,NA
2922,1,1: Northern,England,1940,9,0,0,0,1,NA
2923,1,1: Northern,England,1940,9,0,0,0,1,NA
2924,1,1: Northern,England,1940,9,2,4,6,1,medium
2925,1,1: Northern,England,1940,9,0,0,0,1,NA
2926,1,3: North Midlands,England,1940,9,0,0,0,1,NA
2927,1,3: North Midlands,England,1940,9,0,2,2,1,low
2928,1,6: Southern,England,1940,9,2,6,8,1,low
2929,1,6: Southern,England,1940,9,0,0,0,1,NA
2930,1,6: Southern,England,1940,9,0,0,0,1,NA
2931,1,6: Southern,England,1940,9,0,0,0,1,NA
2932,1,7: South Western,England,1940,9,5,13,18,1,low
2934,1,7: South Western,England,1940,9,0,0,0,1,NA
2936,1,7: South Western,England,1940,9,0,0,0,1,NA
2937,1,7: South Western,England,1940,9,0,0,0,1,NA
2938,1,7: South Western,England,1940,9,0,0,0,1,NA
2939,1,7: South Western,England,1940,9,0,0,0,1,NA
2940,1,7: South Western,England,1940,9,0,0,0,1,NA
2941,1,7: South Western,England,1940,9,0,0,0,1,NA
2942,1,7: South Western,England,1940,9,0,0,0,1,NA
2943,1,8: Wales,Wales,1940,9,27,87,114,1,low
2944,1,8: Wales,Wales,1940,9,0,0,0,1,NA
2945,1,8: Wales,Wales,1940,9,0,8,8,1,low
2946,1,8: Wales,Wales,1940,9,0,1,1,1,low
2947,1,8: Wales,Wales,1940,9,0,0,0,1,NA
2948,1,8: Wales,Wales,1940,9,0,0,0,1,NA
2949,1,8: Wales,Wales,1940,9,0,0,0,1,NA
2950,1,8: Wales,Wales,1940,9,0,19,19,1,low
2951,1,8: Wales,Wales,1940,9,0,0,0,1,NA
2952,1,9: Midlands,England,1940,9,0,0,0,1,NA
2953,1,9: Midlands,England,1940,9,0,0,0,1,NA
2954,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2955,1,12: South Eastern,England,1940,9,0,4,4,1,low
2956,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2957,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2958,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2959,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2960,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2961,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2962,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2963,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2964,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2965,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2966,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2967,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2968,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2969,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2970,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2971,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2972,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2973,1,12: South Eastern,England,1940,9,0,0,0,1,NA
2974,1,10: North Western,England,1940,9,0,0,0,1,NA
2975,1,4: Eastern,England,1940,9,0,0,0,0,NA
2976,1,4: Eastern,England,1940,9,0,0,0,0,NA
2977,1,12: South Eastern,England,1940,9,1,6,7,0,low
2978,1,12: South Eastern,England,1940,9,1,10,11,0,low
2979,1,12: South Eastern,England,1940,9,0,3,3,0,low
2980,1,12: South Eastern,England,1940,9,2,1,3,0,high
2981,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2982,1,12: South Eastern,England,1940,9,2,8,5,0,medium
2983,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2984,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2985,1,12: South Eastern,England,1940,9,0,0,0,0,NA
2986,1,1: Northern,England,1940,9,0,0,0,1,NA
2987,1,1: Northern,England,1940,9,0,0,0,1,NA
2988,1,1: Northern,England,1940,9,0,0,0,1,NA
2989,1,1: Northern,England,1940,9,0,0,0,1,NA
2990,1,1: Northern,England,1940,9,0,0,0,1,NA
2991,1,2: North Eastern,England,1940,9,0,0,0,1,NA
2992,1,2: North Eastern,England,1940,9,0,0,0,1,NA
2993,1,2: North Eastern,England,1940,9,0,0,0,1,NA
2994,1,4: Eastern,England,1940,9,0,0,0,1,NA
2995,1,4: Eastern,England,1940,9,0,0,0,1,NA
